Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
,,,,,,,,,,,,,,7,33,21.7,17.2,14.2,11.3
,,,,,,,,,,,,,,30,65.6,36.3,26.5,20.5,15.3
,,,,,,,,,,,,,,90,208,149,121,99.6,78.2
September–November,3,4.4,6.1,8.5,11,13,17,27,39,59,93,153,271,1,4.57,1.96,1.23,0.82,0.52
,,,,,,,,,,,,,,7,7.78,3.39,2.14,1.44,0.91
,,,,,,,,,,,,,,30,21.4,8.46,5.28,3.61,2.37
,,,,,,,,,,,,,,90,83.7,38.6,24,15.6,9.15
"03109500—Little Beaver Creek near East Liverpool OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 197 ft3/s—Average streamflow: 573 ft3/s—Minimum daily streamflow: 20.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,46.4,63,83,101,123,150,180,245,326,430,565,786,"1,270",1,55.3,38.2,31.6,27.1,22.8
,,,,,,,,,,,,,,7,61.3,42.1,34.8,29.8,25.2
,,,,,,,,,,,,,,30,81.9,55,45.8,40,34.7
,,,,,,,,,,,,,,90,126,81.2,67.3,58.9,51.7
May–November,41,52.1,67,79,90,102,115,148,191,248,334,473,799,1,54.2,37.6,31.2,26.9,22.8
,,,,,,,,,,,,,,7,60.3,41.5,34.5,29.7,25.3
,,,,,,,,,,,,,,30,80.5,54.6,45.8,40.2,35.2
,,,,,,,,,,,,,,90,124,80.7,67.5,59.5,52.8
December–February,105,145,185,220,250,280,314,392,481,597,761,"1,040","1,600",1,197,128,100,81.6,64.1
,,,,,,,,,,,,,,7,223,141,110,89,69.6
,,,,,,,,,,,,,,30,369,220,165,129,96
,,,,,,,,,,,,,,90,729,499,400,330,263
September–November,39,48.6,61.5,70.9,80,88,96,117,148,192,256,365,580,1,59.5,40.5,34.4,30.7,27.5
,,,,,,,,,,,,,,7,69,45.4,38,33.6,29.8
,,,,,,,,,,,,,,30,106,63.7,50.7,42.8,36
,,,,,,,,,,,,,,90,211,127,101,84.5,70.7
"03110000—Yellow Creek near Hammondsville OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 36.1 ft3/s—Average streamflow: 175 ft3/s—Minimum daily streamflow: 1.50 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5.7,9.4,14,20,26,33.7,42,64,91,126,173,246,402,1,8.02,4.61,3.44,2.69,2.04
,,,,,,,,,,,,,,7,9.35,5.28,3.92,3.07,2.33
,,,,,,,,,,,,,,30,15.2,7.84,5.45,4.01,2.81
,,,,,,,,,,,,,,90,27.1,14.3,10.4,8,6.01
May–November,4.79,7.2,10.1,13,16.7,20,24,33.8,47,65,93,136,240,1,7.88,4.57,3.43,2.7,2.07
,,,,,,,,,,,,,,7,9.13,5.21,3.91,3.09,2.38
,,,,,,,,,,,,,,30,14.9,7.73,5.43,4.03,2.86
,,,,,,,,,,,,,,90,26.8,14.3,10.4,8.06,6.11
December–February,19,30,42,55,65,76.1,87.7,113,143,183,239,319,503,1,48.4,24.8,16.4,11.2,7.05
,,,,,,,,,,,,,,7,55.4,30.5,21.7,16.1,11.4
,,,,,,,,,,,,,,30,102,56.6,40.4,30.1,21.3
,,,,,,,,,,,,,,90,227,153,121,98.7,77.3
