Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
,,,,,,,,,,,,,,90,4.2,2.59,2.12,1.86,1.63
December–February,2.7,3.2,4.4,5.03,5.6,6.2,7.04,8.8,11,14.2,17.8,22.2,35.4,1,4.15,2.6,2.08,1.75,1.45
,,,,,,,,,,,,,,7,4.78,3.01,2.41,2.01,1.66
,,,,,,,,,,,,,,30,8.09,5.41,4.5,3.92,3.41
,,,,,,,,,,,,,,90,16.6,11.1,9.07,7.74,6.53
September–November,1.57,1.94,2.3,2.6,2.89,3.09,3.28,3.68,4.11,4.9,6.39,8.86,14.5,1,2.49,1.62,1.3,1.09,0.9
,,,,,,,,,,,,,,7,2.71,1.87,1.57,1.38,1.21
,,,,,,,,,,,,,,30,3.54,2.47,2.12,1.9,1.7
,,,,,,,,,,,,,,90,5.71,3.56,2.93,2.55,2.24
"03136500—Kokosing River at Mount Vernon OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 80.9 ft3/s—Average streamflow: 245 ft3/s—Minimum daily streamflow: 8.60 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,23,29,35.9,42,48,55,63.4,88,120,161,220,312,540,1,27.8,18.6,14.6,11.6,8.78
,,,,,,,,,,,,,,7,30.5,21.3,17.1,14.1,11.1
,,,,,,,,,,,,,,30,37.1,26.2,21.4,17.9,14.5
,,,,,,,,,,,,,,90,50.1,33.8,27.8,23.8,20.1
May–November,20,25,30,34.6,38.9,43,47.4,57.6,72,92,122,182,319,1,28.1,18.9,14.7,11.7,8.83
,,,,,,,,,,,,,,7,30.8,21.5,17.3,14.2,11.2
,,,,,,,,,,,,,,30,37.7,26.6,21.6,18.1,14.5
,,,,,,,,,,,,,,90,51,34.2,28,23.9,20
December–February,36,44,52,65,79.1,96.4,111,142,180,228,294,421,740,1,58.9,39.1,31.9,27.1,22.6
,,,,,,,,,,,,,,7,66.9,42.7,34.1,28.4,23.2
,,,,,,,,,,,,,,30,126,73.5,54.8,42.6,31.9
,,,,,,,,,,,,,,90,317,209,163,130,98.9
September–November,18,23,26.9,29.1,32,35,37.5,43.5,50.6,61,78,108,195,1,29.7,20.2,16.2,13.4,10.7
,,,,,,,,,,,,,,7,32.9,22.8,18.6,15.6,12.8
,,,,,,,,,,,,,,30,40.4,27.1,22.5,19.4,16.7
,,,,,,,,,,,,,,90,79.2,45.6,34.8,28.1,22.4
"03139000—Killbuck Creek at Killbuck OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 196 ft3/s—Average streamflow: 510 ft3/s—Minimum daily streamflow: 32.5 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,56,69,85,99,116,136,160,215,291,390,521,752,"1,240",1,66,49,41.9,36.7,31.5
,,,,,,,,,,,,,,7,71,52.6,45.1,39.8,34.7
,,,,,,,,,,,,,,30,86.7,62.4,54.2,48.9,44.3
,,,,,,,,,,,,,,90,126,85,71.3,62.6,54.8
May–November,50,61,73.9,84,93,102,115,143,182,232,312,447,767,1,66.5,49.2,41.9,36.5,31.3
,,,,,,,,,,,,,,7,72.3,53.2,45.4,39.9,34.4
,,,,,,,,,,,,,,30,88.6,63.5,54.9,49.3,44.4
,,,,,,,,,,,,,,90,127,85.4,72,63.6,56.3
December–February,70,94,130,151,183,212,250,333,423,537,723,"1,010","1,500",1,138,86.6,68.5,56.7,46
,,,,,,,,,,,,,,7,157,95.7,74.6,60.9,48.8
,,,,,,,,,,,,,,30,263,154,116,91.6,70.4
,,,,,,,,,,,,,,90,614,402,315,255,199
September–November,48,57.1,69,76,83,89,96,110,131,164,212,307,508,1,67.9,49.2,42.8,38.6,34.8
,,,,,,,,,,,,,,7,75.8,54.8,47.8,43.5,39.7
,,,,,,,,,,,,,,30,102,69.8,59.5,53.1,47.5
,,,,,,,,,,,,,,90,189,118,95.5,81,68.3
"03140000—Mill Creek near Coshocton OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 3.95 ft3/s—Average streamflow: 31.5 ft3/s—Minimum daily streamflow: 0.12 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.49,0.96,1.6,2.3,3.1,4.13,5.4,8.8,13.5,19.7,28,40,67,1,0.86,0.37,0.24,0.17,0.11
,,,,,,,,,,,,,,7,1.05,0.46,0.3,0.22,0.15
,,,,,,,,,,,,,,30,1.81,0.83,0.56,0.4,0.28
,,,,,,,,,,,,,,90,3.79,1.92,1.37,1.06,0.8
May–November,0.38,0.6,1.1,1.5,1.9,2.33,2.9,4.27,6.3,9.4,14,22,41,1,0.89,0.38,0.25,0.17,0.12
,,,,,,,,,,,,,,7,1.09,0.48,0.31,0.22,0.15
,,,,,,,,,,,,,,30,1.88,0.86,0.57,0.4,0.27
,,,,,,,,,,,,,,90,3.99,1.99,1.41,1.07,0.8
December–February,1.82,2.9,5,6.69,8.04,10,12,17.1,22,29,38.2,52,87,1,4.89,2.3,1.53,1.08,0.73
,,,,,,,,,,,,,,7,6.06,3.01,2.09,1.54,1.09
,,,,,,,,,,,,,,30,14.9,7.48,5.01,3.52,2.32
,,,,,,,,,,,,,,90,40.6,25.9,19.9,15.8,12
September–November,0.34,0.5,0.73,1.1,1.4,1.66,2,2.8,3.98,5.81,9.24,15,29,1,1.01,0.41,0.26,0.18,0.12
,,,,,,,,,,,,,,7,1.3,0.54,0.34,0.24,0.16
,,,,,,,,,,,,,,30,2.49,1.01,0.64,0.44,0.29
,,,,,,,,,,,,,,90,8.31,3.56,2.3,1.61,1.08
"03141870—Leatherwood Creek near Kipling OH—Statistics based on water years: 2001–2020
Harmonic mean flow: 4.46 ft3/s—Average streamflow: 85.6 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.5,1.5,2.68,4.1,5.83,8.45,12,21,32.7,47.9,69.4,102,191,1,0.71,0.21,0.09,0,0
,,,,,,,,,,,,,,7,1.07,0.31,0.14,0,0
,,,,,,,,,,,,,,30,2.92,0.89,0.42,0.22,0.1
,,,,,,,,,,,,,,90,6.24,3.06,2.32,1.92,1.61
May–November,0.2,0.79,1.7,2.39,3.16,4.05,4.91,7.73,12.8,21,32.2,50.8,103,1,0.751,0.22,0.1,0.02,0
,,,,,,,,,,,,,,7,1.12,0.34,0.16,0.03,0
,,,,,,,,,,,,,,30,2.89,0.89,0.44,0.23,0.11
,,,,,,,,,,,,,,90,6.43,3.18,2.4,1.98,1.65
December–February,8.4,11.1,14.8,18.9,23.2,27.9,33.6,45.6,60.1,78.4,104,154,293,1,14.9,6.41,3.66,2.16,1.11
,,,,,,,,,,,,,,7,19.1,9.05,5.78,3.87,2.38
,,,,,,,,,,,,,,30,51,28.2,20.5,15.6,11.5
,,,,,,,,,,,,,,90,109,70.3,55.9,46.2,37.3
September–November,0.11,0.36,1.04,1.55,1.96,2.4,3,4.52,6.75,12.8,23,39.5,86,1,0.95,0.25,0.11,0.01,0
,,,,,,,,,,,,,,7,1.42,0.37,0.16,0.03,0
,,,,,,,,,,,,,,30,4.21,1.71,1.15,0.86,0.64
,,,,,,,,,,,,,,90,18.2,6.41,3.91,2.66,1.77
"03144000—Wakatomika Creek near Frazeysburg OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 33.4 ft3/s—Average streamflow: 168 ft3/s—Minimum daily streamflow: 3.28 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,6.46,8.68,12,16,21,26,32,49.4,72.3,103,146,211,364,1,7.74,5.17,4.27,3.67,3.13
,,,,,,,,,,,,,,7,8.69,5.74,4.73,4.07,3.47
,,,,,,,,,,,,,,30,12,7.68,6.32,5.47,4.73
,,,,,,,,,,,,,,90,21.9,12.8,9.98,8.29,6.85
May–November,5.8,7.22,9.2,11,13.4,16,19,26,36,50.5,73,114,211,1,7.76,5.18,4.27,3.67,3.13
,,,,,,,,,,,,,,7,8.76,5.76,4.72,4.05,3.44
,,,,,,,,,,,,,,30,12.1,7.68,6.33,5.49,4.78
,,,,,,,,,,,,,,90,22.1,12.7,9.91,8.22,6.81
December–February,19,24,31,39,47.8,58.9,69,91,117,150,193,270,458,1,31.8,19.5,15.3,12.7,10.3
,,,,,,,,,,,,,,7,38.3,23,18,14.8,12.1
,,,,,,,,,,,,,,30,77.5,44.5,33.3,26.2,20
,,,,,,,,,,,,,,90,216,137,103,79.6,58
September–November,5.35,6.45,8,9.2,11,12.6,14.9,19.7,26,34,47,72,127,1,8.36,5.32,4.4,3.85,3.38
,,,,,,,,,,,,,,7,9.93,6.07,4.88,4.16,3.53
,,,,,,,,,,,,,,30,16.2,9.05,6.92,5.64,4.58
,,,,,,,,,,,,,,90,44.7,22.7,16.2,12.4,9.2
"03144816—South Fork Licking River at Kirkersville OH—Statistics based on water years: 2008–2020
Harmonic mean flow: 1.47 ft3/s—Average streamflow: 66.5 ft3/s—Minimum daily streamflow: 0.01 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.27,0.49,1.3,2.44,3.88,5.72,7.72,13.2,19,27.5,42.7,70,157,1,0.45,0.12,0.06,0.03,0.02
,,,,,,,,,,,,,,7,0.62,0.15,0.07,0.04,0.02
,,,,,,,,,,,,,,30,2.03,0.68,0.37,0.22,0.12
,,,,,,,,,,,,,,90,6.07,1.87,0.96,0.54,0.27
May–November,0.14,0.33,0.59,1.02,1.68,2.4,3.28,5.53,8.72,13.1,19.4,35.2,83.4,1,0.49,0.13,0.06,0.03,0.02
,,,,,,,,,,,,,,7,0.67,0.17,0.08,0.04,0.02
,,,,,,,,,,,,,,30,2.05,0.71,0.4,0.24,0.14
,,,,,,,,,,,,,,90,6.44,2.04,1.05,0.59,0.3
December–February,4.13,6.4,9.64,12.7,15,17,19.4,26,34.9,49,70,111,230,1,5.37,2.55,1.73,1.26,0.89
,,,,,,,,,,,,,,7,9.52,4.97,3.44,2.49,1.7
,,,,,,,,,,,,,,30,37.5,24.2,19,15.4,12.1
,,,,,,,,,,,,,,90,86.6,67.6,60,54.7,49.5
September–November,0.07,0.26,0.37,0.53,0.77,1.07,1.55,2.74,5.14,8.1,12.6,19.9,54.2,1,0.53,0.15,0.07,0.04,0.02
,,,,,,,,,,,,,,7,1.06,0.27,0.12,0.06,0.03
,,,,,,,,,,,,,,30,2.69,0.95,0.55,0.35,0.21
,,,,,,,,,,,,,,90,13.5,5.29,3.34,2.31,1.56
"03145000—South Fork Licking River near Hebron OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 27.7 ft3/s—Average streamflow: 176 ft3/s—Minimum daily streamflow: 1.70 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5.4,7.2,10,13.9,17,21,26,41,62.3,98.1,157,250,446,1,6.67,4.11,3.14,2.49,1.9
,,,,,,,,,,,,,,7,7.87,5.24,4.22,3.52,2.87
,,,,,,,,,,,,,,30,11,6.86,5.45,4.56,3.77
,,,,,,,,,,,,,,90,23.9,11.6,7.97,5.85,4.14
May–November,4.6,6,7.8,9.5,11,13.9,16,21,29,43,70,139,310,1,6.44,3.99,3.08,2.48,1.93
,,,,,,,,,,,,,,7,7.63,5.1,4.15,3.51,2.92
,,,,,,,,,,,,,,30,10.7,6.61,5.32,4.51,3.82
,,,,,,,,,,,,,,90,24.2,11.6,7.99,5.87,4.16
December–February,14,19,29,40,52,65,78,115,153,200,264,370,605,1,29.7,16.3,12,9.35,7.09
,,,,,,,,,,,,,,7,35.4,19.1,14,10.8,8.2
,,,,,,,,,,,,,,30,92.6,45.2,30,21,13.8
,,,,,,,,,,,,,,90,256,165,123,94.2,67
September–November,4.2,5.26,6.61,7.8,9,10,12,16,22,34.6,62,136,280,1,7.1,4.22,3.2,2.54,1.96
,,,,,,,,,,,,,,7,8.36,5.31,4.29,3.64,3.06
,,,,,,,,,,,,,,30,13.7,7.26,5.5,4.49,3.67
,,,,,,,,,,,,,,90,73.4,35.8,24.2,17.4,11.9
"03145483—Raccoon Creek near Granville OH—Statistics based on water years: 2008–2020
Harmonic mean flow: 11.0 ft3/s—Average streamflow: 111 ft3/s—Minimum daily streamflow: 0.06 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.01,4.65,6.97,9.21,12,14.5,18.3,27,38.8,56.7,83.4,123,239,1,4.36,2.38,1.69,1.26,0.9
,,,,,,,,,,,,,,7,4.87,2.68,1.92,1.45,1.05
,,,,,,,,,,,,,,30,6.38,4.02,3.34,2.93,2.6
,,,,,,,,,,,,,,90,11.6,6.97,5.61,4.8,4.12
May–November,2.59,3.45,5.12,6.52,7.72,9.12,10.9,14.4,19.5,26.4,39.3,66.9,135,1,4.22,2.37,1.72,1.31,0.96
,,,,,,,,,,,,,,7,4.69,2.66,1.95,1.51,1.12
,,,,,,,,,,,,,,30,6.21,4.03,3.41,3.05,2.75
,,,,,,,,,,,,,,90,11.5,7.08,5.79,5.02,4.38
December–February,11.8,14.5,22.8,27.2,31.3,35.4,40,52.5,66.7,89.4,122,184,369,1,13.5,10,8.89,8.22,7.66
,,,,,,,,,,,,,,7,20.8,14.5,12.2,10.6,9.14
,,,,,,,,,,,,,,30,67.5,43.6,33.2,25.8,18.9
,,,,,,,,,,,,,,90,151,116,99.7,87.9,75.9
September–November,2.39,3.03,3.9,4.92,5.89,6.73,7.42,9.24,12,14.6,20.3,33.7,88.1,1,4.18,2.44,1.83,1.44,1.1
,,,,,,,,,,,,,,7,5.16,3.27,2.6,2.17,1.77
,,,,,,,,,,,,,,30,7.26,4.56,3.79,3.34,2.97
,,,,,,,,,,,,,,90,25,12.1,8.86,7.05,5.63
"03146500—Licking River near Newark OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 213 ft3/s—Average streamflow: 709 ft3/s—Minimum daily streamflow: 46.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,59.7,70.2,86.6,103,120,142,168,239,334,463,640,907,"1,600",1,67.9,54.5,49.7,46.5,43.7
,,,,,,,,,,,,,,7,73.8,58.3,52.6,48.8,45.3
,,,,,,,,,,,,,,30,86.6,64,56.3,51.3,46.9
,,,,,,,,,,,,,,90,135,87.3,71.4,61.4,52.5
May–November,56,64.7,74,85,95.8,106,118,147,189,256,353,549,994,1,69.1,54.6,49.4,46,42.9
,,,,,,,,,,,,,,7,75.3,58.6,52.6,48.7,45.1
,,,,,,,,,,,,,,30,86.4,64.1,57.1,52.8,49.2
,,,,,,,,,,,,,,90,138,87.6,71.1,60.8,51.6
December–February,79,101,140,181,230,280,327,434,555,698,892,"1,250","2,150",1,155,100,80.6,67.8,56.2
,,,,,,,,,,,,,,7,176,110,86.6,71.4,57.7
,,,,,,,,,,,,,,30,366,197,139,102,71.2
,,,,,,,,,,,,,,90,980,625,464,351,246
September–November,53,56,64,69.9,75,83,91,109,136,174,250,395,721,1,71.1,55.8,50.7,47.5,44.9
,,,,,,,,,,,,,,7,77.7,59.5,53.5,49.8,46.6
,,,,,,,,,,,,,,30,101,67.9,57.4,50.8,45.2
,,,,,,,,,,,,,,90,249,136,100,78.3,59.9
"03149500—Salt Creek near Chandlersville OH—Statistics based on water years: 2002–2020
Harmonic mean flow: 5.84 ft3/s—Average streamflow: 91.9 ft3/s—Minimum daily streamflow: 0.01 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.11,2.44,4.05,6.27,8.88,11.5,14.7,23.4,36,51.9,74.2,110,200,1,2.22,0.44,0.14,0.04,0.01
,,,,,,,,,,,,,,7,2.63,0.65,0.25,0.1,0.03
,,,,,,,,,,,,,,30,4.41,1.5,0.78,0.43,0.21
,,,,,,,,,,,,,,90,8.93,3.84,2.53,1.82,1.27
May–November,0.74,1.53,2.68,3.56,4.84,6.14,7.59,11,16,23.5,35.9,54.7,109,1,2.32,0.48,0.15,0.05,0.01
,,,,,,,,,,,,,,7,2.72,0.7,0.27,0.11,0.04
,,,,,,,,,,,,,,30,4.49,1.56,0.82,0.46,0.23
,,,,,,,,,,,,,,90,8.99,3.95,2.63,1.9,1.34
December–February,9.2,12,15.2,20,25,29.9,36,50,64.7,83.5,108,153,258,1,13.6,7.27,5.33,4.16,3.18
,,,,,,,,,,,,,,7,17.9,10.3,7.88,6.37,5.06
,,,,,,,,,,,,,,30,51.1,30.5,23.4,18.8,14.8
,,,,,,,,,,,,,,90,110,73.1,60,51.4,43.6
September–November,0.37,0.92,1.8,2.6,3.27,4.05,5.12,6.96,9.83,14.3,22.5,38,78.4,1,2.54,0.48,0.15,0.05,0.01
,,,,,,,,,,,,,,7,3.07,0.73,0.28,0.11,0.04
,,,,,,,,,,,,,,30,5.75,2.37,1.54,1.09,0.75
,,,,,,,,,,,,,,90,20.5,8.04,5.08,3.53,2.39
"03157000—Clear Creek near Rockbridge OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 39.4 ft3/s—Average streamflow: 99.9 ft3/s—Minimum daily streamflow: 7.60 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,12.8,15,18,21,23.8,27,31.1,41,53,68,89,122,204,1,15,11.5,10.1,9.12,8.14
,,,,,,,,,,,,,,7,16.2,12.4,10.9,9.85,8.81
,,,,,,,,,,,,,,30,19.2,14.1,12.2,10.9,9.67
,,,,,,,,,,,,,,90,25.8,17.7,14.9,13,11.4
May–November,11.8,13.7,16,17.8,19,21,23,28,35,43,56,77.7,134,1,14.9,11.4,10.1,9.1,8.16
,,,,,,,,,,,,,,7,16.1,12.4,10.9,9.81,8.8
,,,,,,,,,,,,,,30,19.1,13.9,12.1,10.8,9.68
,,,,,,,,,,,,,,90,25.4,17.4,14.8,13.1,11.6
December–February,20,23,28,33,38.9,44,48,59,73,90.2,114,154,255,1,28.3,19.8,16.6,14.3,12.3
,,,,,,,,,,,,,,7,31.4,22.4,19.2,17.2,15.3
,,,,,,,,,,,,,,30,54.2,35.7,29,24.6,20.6
,,,,,,,,,,,,,,90,120,81.7,66,54.9,44.3
September–November,11.7,13,14.9,16,17,18.2,19,22,26,32,40.3,55,91,1,15.2,11.7,10.4,9.57,8.8
,,,,,,,,,,,,,,7,16.6,12.5,11.2,10.4,9.81
,,,,,,,,,,,,,,30,20.3,14.3,12.6,11.6,10.8
,,,,,,,,,,,,,,90,36.6,22.4,17.9,15.2,12.8
"03157500—Hocking River at Enterprise OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 178 ft3/s—Average streamflow: 530 ft3/s—Minimum daily streamflow: 32.3 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,51,62,75,88,104,122,142,198,269,364,495,698,"1,200",1,61.1,46.6,40.6,36.3,32.2
,,,,,,,,,,,,,,7,66.1,50.2,43.7,39.2,34.7
,,,,,,,,,,,,,,30,80.2,58,49.8,44.4,39.3
,,,,,,,,,,,,,,90,114,75.8,63,54.9,47.7
May–November,45.4,56,64.8,72.3,80,89.2,100,126,160,207,283,414,740,1,60.2,46.2,40.6,36.6,32.8
,,,,,,,,,,,,,,7,65.2,49.8,43.7,39.4,35.3
,,,,,,,,,,,,,,30,78.5,56.8,49.5,44.9,40.8
,,,,,,,,,,,,,,90,112,75,62.9,55.3,48.7
December–February,80,98,127,150,185,218,250,320,401,506,647,900,"1,480",1,132,87.3,71.4,60.8,51.1
,,,,,,,,,,,,,,7,149,96.3,78.6,67.3,57.3
,,,,,,,,,,,,,,30,276,168,131,107,85.3
,,,,,,,,,,,,,,90,628,419,338,283,231
September–November,43,51,59,63.1,68.9,73.1,78.7,92,114,141,187,270,462,1,61.3,46.5,41.3,38,35
,,,,,,,,,,,,,,7,66.5,48.8,43.1,39.5,36.4
,,,,,,,,,,,,,,30,87.2,58.7,50.1,44.9,40.5
,,,,,,,,,,,,,,90,166,95.9,74.4,61.2,50.1
"03158200—Monday Creek at Doanville OH—Statistics based on water years: 1998–2020
Harmonic mean flow: 23.3 ft3/s—Average streamflow: 127 ft3/s—Minimum daily streamflow: 2.74 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,4.77,6.13,8.17,10.3,13,16.1,20.6,32.5,49.9,75.7,112,167,293,1,4.92,3.41,3.03,2.83,2.68
,,,,,,,,,,,,,,7,5.44,3.7,3.24,2.99,2.81
,,,,,,,,,,,,,,30,7.67,5.06,4.41,4.07,3.83
,,,,,,,,,,,,,,90,14.1,8.69,7.33,6.6,6.05
May–November,4.22,5.29,6.6,7.77,8.9,10.3,12,16,22.7,34.4,51,83,159,1,4.92,3.41,3.03,2.83,2.68
,,,,,,,,,,,,,,7,5.44,3.7,3.24,2.99,2.81
,,,,,,,,,,,,,,30,7.67,5.06,4.41,4.07,3.83
,,,,,,,,,,,,,,90,14.2,8.71,7.33,6.59,6.04
December–February,13,16.6,21.2,26,31.4,37,44,60,83.5,113,150,212,370,1,20.3,10.8,7.87,6.06,4.54
,,,,,,,,,,,,,,7,25.3,14.4,10.9,8.77,6.9
,,,,,,,,,,,,,,30,60.3,37.2,29.1,23.9,19.3
,,,,,,,,,,,,,,90,149,95.4,74.8,61,48.2
September–November,3.74,4.53,5.3,6.1,6.8,7.59,8.28,10,13,16.6,25.9,48.4,102,1,5.89,3.77,3.14,2.78,2.47
,,,,,,,,,,,,,,7,6.67,4.07,3.33,2.9,2.55
,,,,,,,,,,,,,,30,10.3,5.59,4.38,3.71,3.18
,,,,,,,,,,,,,,90,23.6,11.8,8.88,7.32,6.12
"03159500—Hocking River at Athens OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 301 ft3/s—Average streamflow: 1130 ft3/s—Minimum daily streamflow: 47.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,72,90.4,114,143,178,218,262,386,543,770,"1,080","1,590","2,700",1,88.7,64.5,55.8,49.9,44.5
,,,,,,,,,,,,,,7,95.2,68.3,58.8,52.5,46.9
,,,,,,,,,,,,,,30,118,79,66.5,58.7,52
,,,,,,,,,,,,,,90,179,108,87.5,75.2,65
May–November,64,79,94.2,109,124,144,165,221,289,400,573,858,"1,630",1,87.3,63.9,55.5,50,45
,,,,,,,,,,,,,,7,93.6,67.5,58.5,52.7,47.5
,,,,,,,,,,,,,,30,115,77.7,66.1,59.1,53.1
,,,,,,,,,,,,,,90,176,108,87.5,75.7,65.8
December–February,140,190,250,310,371,440,500,655,860,"1,100","1,460","2,010","3,380",1,247,153,120,99.1,80.3
,,,,,,,,,,,,,,7,284,175,139,116,95.2
,,,,,,,,,,,,,,30,548,328,255,209,169
,,,,,,,,,,,,,,90,"1,350",920,754,640,533
September–November,59.7,68,80,89.1,96.7,105,114,138,177,236,328,502,970,1,89.2,63.5,55.3,50.3,45.9
,,,,,,,,,,,,,,7,95.2,66.2,57.5,52.3,48
,,,,,,,,,,,,,,30,126,78.2,64.7,56.9,50.6
,,,,,,,,,,,,,,90,280,145,107,84.8,66.8
"03159540—Shade River near Chester OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 7.21 ft3/s—Average streamflow: 179 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.73,1.55,3.36,5.5,8.8,13,19.8,35,58.1,89,130,200,397,1,1.4,0.5,0.28,0.15,0
,,,,,,,,,,,,,,7,1.77,0.68,0.4,0.24,0
,,,,,,,,,,,,,,30,3.96,1.26,0.7,0.43,0.25
,,,,,,,,,,,,,,90,13.2,4.46,2.48,1.52,0.87
May–November,0.51,0.99,1.79,2.9,4.1,5.51,7.4,13,21,33.3,53.7,92,195,1,1.39,0.5,0.28,0.15,0
,,,,,,,,,,,,,,7,1.75,0.67,0.4,0.25,0
,,,,,,,,,,,,,,30,3.75,1.2,0.69,0.44,0.28
,,,,,,,,,,,,,,90,13.1,4.42,2.48,1.53,0.88
December–February,6.92,15,26,34.7,45,56,66.4,91,120,156,214,326,632,1,22.9,8.87,5,2.98,1.59
,,,,,,,,,,,,,,7,29.4,12.2,7.26,4.56,2.6
,,,,,,,,,,,,,,30,84.3,42.8,29.6,21.6,15
,,,,,,,,,,,,,,90,249,167,135,112,91
September–November,0.36,0.68,1.11,1.66,2.36,3.4,4.3,7.4,12.4,21,35,69,151,1,1.7,0.55,0.3,0.16,0
,,,,,,,,,,,,,,7,2.46,0.8,0.43,0.24,0
,,,,,,,,,,,,,,30,5.72,1.49,0.76,0.45,0.25
,,,,,,,,,,,,,,90,39.2,11.5,5.72,3.11,1.52
"03201902—Raccoon Creek near Bolins Mills OH—Statistics based on water years: 2003–2016, 2018–2019
Harmonic mean flow: 8.72 ft3/s—Average streamflow: 251 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.24,2.94,6.04,11.1,17.6,24.9,31.8,49.8,85.4,140,212,339,700,1,3.82,0.51,0.08,0,0
,,,,,,,,,,,,,,7,4.49,0.87,0.32,0.13,0.05
,,,,,,,,,,,,,,30,8.83,2.72,1.43,0.82,0.43
,,,,,,,,,,,,,,90,17.1,5.46,3.03,1.87,1.09
May–November,0.73,1.72,3.28,5.14,7.48,10.8,14.9,23.5,33.1,45.1,71.8,136,325,1,3.22,0.47,0.09,0,0
,,,,,,,,,,,,,,7,3.9,0.79,0.31,0.13,0.05
,,,,,,,,,,,,,,30,7.84,2.48,1.34,0.81,0.45
,,,,,,,,,,,,,,90,15.2,4.95,2.83,1.8,1.1
December–February,15.8,27,39.9,51.1,70,83,99.5,135,180,236,328,513,"1,050",1,35.6,15.3,9.42,6.15,3.7
,,,,,,,,,,,,,,7,47.1,21.9,14.1,9.65,6.13
,,,,,,,,,,,,,,30,129,80.6,65.6,56.4,48.4
,,,,,,,,,,,,,,90,353,223,171,135,102
September–November,0.59,1.08,2.2,3.08,3.91,5.01,6.62,11.6,19.2,30.2,46.6,94.2,241,1,2.78,0.3,0.07,0,0
,,,,,,,,,,,,,,7,3.71,0.72,0.29,0.13,0.05
,,,,,,,,,,,,,,30,8.26,2.14,1.07,0.61,0.32
,,,,,,,,,,,,,,90,36.8,10.3,5.52,3.36,1.96
"03201980—Little Raccoon Creek near Ewington OH—Statistics based on water years: 1999–2019
Harmonic mean flow: 22.5 ft3/s—Average streamflow: 115 ft3/s—Minimum daily streamflow: 1.14 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5.09,6.8,9.52,12.3,15.1,18,21,29.4,43.4,63.1,92.5,139,286,1,6.09,3.23,2.24,1.63,1.12
,,,,,,,,,,,,,,7,7.04,4.21,3.21,2.56,1.98
,,,,,,,,,,,,,,30,10.4,6.31,4.89,3.97,3.14
,,,,,,,,,,,,,,90,15.6,9.54,7.71,6.6,5.66
May–November,4.32,5.66,7.17,8.94,10.7,12.6,14.2,18.1,22.2,28.9,40.6,60.1,129,1,6.34,3.37,2.33,1.68,1.14
,,,,,,,,,,,,,,7,7.32,4.36,3.3,2.6,1.98
,,,,,,,,,,,,,,30,10.8,6.53,5.02,4.04,3.15
,,,,,,,,,,,,,,90,16,9.82,7.91,6.74,5.75
December–February,10.7,15,20.8,25,30,37,44,60,78.1,99.8,135,206,400,1,18.8,11.3,8.93,7.44,6.14
,,,,,,,,,,,,,,7,22.6,13,9.92,8.05,6.43
,,,,,,,,,,,,,,30,51.6,28.2,20.9,16.5,12.8
,,,,,,,,,,,,,,90,146,92.8,72,57.9,44.9
September–November,3.34,4.94,6.32,7.36,8.75,10,11.3,14,17.2,20.8,26.2,40.3,84.9,1,6.37,3.31,2.26,1.61,1.07
,,,,,,,,,,,,,,7,7.77,4.37,3.2,2.46,1.81
,,,,,,,,,,,,,,30,12.7,6.97,5.09,3.94,2.95
,,,,,,,,,,,,,,90,26.5,13.6,10.4,8.58,7.19
