object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
15131,W,DOMESTIC,-84.16326,40.70917,GEOCODE,ALLEN,SHAWNEE,1981-09-21,175.0,858.9000244140625,LIMESTONE,,50.0,64.0,173.0,171,515467
15132,W,DOMESTIC,-84.14724,40.679919999999996,GEOCODE,ALLEN,SHAWNEE,1987-11-24,246.0,865.4000244140625,LIMESTONE,,30.0,42.0,225.0,225,676168
15135,W,DOMESTIC,-84.137649,40.690111,DIGITIZED,ALLEN,SHAWNEE,1954-12-03,47.0,867.0999755859375,GRAVEL,,20.0,34.0,47.0,,139819
15136,W,DOMESTIC,-84.137649,40.690111,DIGITIZED,ALLEN,SHAWNEE,1953-03-28,48.0,867.0999755859375,GRAVEL,,20.0,32.0,48.0,,88283
15138,W,DOMESTIC,-84.094939,40.81951,DIGITIZED,ALLEN,MONROE,1954-11-10,33.0,817.9000244140625,LIMESTONE,,10.0,,23.0,23,129742
15139,W,DOMESTIC,-84.01328,40.7244,GEOCODE,ALLEN,PERRY,1995-04-06,78.0,941.9000244140625,LIMESTONE,CABLE TOOL,10.0,52.0,67.0,64,800637
15140,W,DOMESTIC,-84.05149,40.78094,GEOCODE,ALLEN,BATH,1989-10-05,55.0,864.5999755859375,LIMESTONE,ROTARY,12.0,26.0,41.0,35,700141
15141,W,DOMESTIC,-84.05111,40.79203,GEOCODE,ALLEN,BATH,1990-10-30,57.0,860.7000122070312,LIMESTONE,CABLE TOOL,7.0,20.0,45.0,45,723758
15142,W,,-84.18565799999999,40.838058,DIGITIZED,ALLEN,SUGAR CREEK,,129.0,784.4000244140625,LIMESTONE,,,18.0,70.0,68,88996
15151,W,DOMESTIC,-84.118034,40.788168999999996,DIGITIZED,ALLEN,AMERICAN,1961-08-28,55.0,829.7999877929688,LIMESTONE,,10.0,30.0,38.0,54,208744
15152,W,DOMESTIC,-84.01321,40.762229999999995,GEOCODE,ALLEN,BATH,1991-10-24,55.0,902.4000244140625,LIMESTONE,CABLE TOOL,9.0,1.0,48.0,50,723772
15154,W,MONITOR,-84.14699,40.76383,,ALLEN,AMERICAN,1991-04-03,20.0,842.5,SAND,AUGER,,,10.0,,728597
15155,W,DOMESTIC,-84.15156999999999,40.706579999999995,GEOCODE,ALLEN,SHAWNEE,1971-09-28,148.0,829.5999755859375,GRAVEL,,10.0,38.0,148.0,,409689
15157,W,DOMESTIC,-84.00060599999999,40.872361,DIGITIZED,ALLEN,MONROE,1956-10-23,74.0,818.4000244140625,LIMESTONE,,9.0,14.0,33.0,31,154723
15158,W,DOMESTIC,-84.00385,40.86182,GEOCODE,ALLEN,MONROE,1995-10-20,29.0,823.0,LIMESTONE,CABLE TOOL,30.0,13.0,26.0,27,824179
15159,W,DOMESTIC,-83.91951,40.71008,,ALLEN,AUGLAIZE,1988-06-09,57.0,989.5,GRAVEL,,30.0,25.0,57.0,,680929
15160,W,DOMESTIC,-83.88004,40.74093,GEOCODE,ALLEN,JACKSON,1992-10-02,52.0,996.0,LIMESTONE,ROTARY,12.0,38.0,44.0,41,755155
15161,W,MONITOR,-83.92085999999999,40.70854,,ALLEN,AUGLAIZE,1993-12-21,40.0,984.0,SAND,AUGER,,14.4,29.0,,787372
15166,W,DOMESTIC,-84.02333,40.84653,GEOCODE,ALLEN,MONROE,1989-07-06,28.0,826.0,LIMESTONE,ROTARY,12.0,12.0,25.0,19,696723
15167,W,DOMESTIC,-84.21495999999999,40.7736,,ALLEN,AMERICAN,1987-11-12,28.0,800.7000122070312,LIMESTONE,,8.0,13.0,25.0,25,673351
15170,W,INDUSTRIAL,-84.139406,40.706828,,ALLEN,SHAWNEE,1970-08-01,375.0,847.9000244140625,LIMESTONE,,120.0,105.0,233.0,92,389531
15171,W,DOMESTIC,-84.00407,40.81192,GEOCODE,ALLEN,BATH,1994-06-20,50.0,865.9000244140625,LIMESTONE,ROTARY,20.0,19.0,37.0,33,786610
15172,W,DOMESTIC,-83.89341,40.81964,GEOCODE,ALLEN,JACKSON,1983-05-20,50.0,897.4000244140625,LIMESTONE,,30.0,12.0,32.0,29,620102
15173,W,DOMESTIC,-84.091419,40.761429,DIGITIZED,ALLEN,BATH,1954-04-19,89.0,874.9000244140625,LIMESTONE,,,,48.0,45,127363
15174,W,DOMESTIC,-84.103512,40.81698,DIGITIZED,ALLEN,BATH,1970-07-04,71.0,822.7999877929688,LIMESTONE,,30.0,25.0,34.0,32,404188
15177,W,DOMESTIC,-84.147573,40.689239,DIGITIZED,ALLEN,SHAWNEE,1957-06-17,93.0,853.4000244140625,GRAVEL,,12.0,28.5,93.0,,199765
15178,W,DOMESTIC,-84.15432,40.664339999999996,GEOCODE,ALLEN,SHAWNEE,1996-08-22,300.0,868.0,LIMESTONE,ROTARY,12.0,35.0,253.0,253,843038
