object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
57320,W,,-84.344194,40.369817999999995,DIGITIZED,SHELBY,MCLEAN,1955-03-05,98.0,962.7000122070312,SANDSTONE,,9.0,16.0,90.0,70,145808
57497,W,DOMESTIC,-84.07941,40.255539999999996,GLOBAL POSITIONING SYSTEM,SHELBY,GREEN,2009-01-08,182.0,1096.300048828125,LIMESTONE,ROTARY,60.0,17.7,98.0,84,2020742
57531,W,TEST BORING,-84.251967,40.222733,GLOBAL POSITIONING SYSTEM,SHELBY,WASHINGTON,2008-07-07,30.0,885.4000244140625,SILT/SAND/GRAVEL,AUGER,,,,,2020422
57658,W,DOMESTIC,-84.16514,40.24051,GLOBAL POSITIONING SYSTEM,SHELBY,ORANGE,2008-06-25,113.0,1021.2000122070312,GRAVEL & SAND,ROTARY,15.0,55.5,111.0,,2017180
57746,W,DOMESTIC,-84.145259,40.322616,GLOBAL POSITIONING SYSTEM,SHELBY,FRANKLIN,2008-09-18,161.0,1047.699951171875,LIMESTONE,ROTARY,40.0,43.4,84.0,80,2018698
57759,W,DOMESTIC,-84.14307,40.323319999999995,GLOBAL POSITIONING SYSTEM,SHELBY,FRANKLIN,2009-03-30,153.0,1000.0,LIMESTONE,ROTARY,60.0,36.7,90.0,79,2021607
57779,W,DOMESTIC,-84.32172,40.316089999999996,GLOBAL POSITIONING SYSTEM,SHELBY,CYNTHIAN,2008-05-30,242.0,1002.9000244140625,LIMESTONE,ROTARY,60.0,62.800000000000004,158.0,241,2016699
57901,W,DOMESTIC,-84.11659,40.34777,GLOBAL POSITIONING SYSTEM,SHELBY,SALEM,2008-05-20,96.0,1058.699951171875,GRAVEL & SAND,ROTARY,70.0,51.5,93.0,,2016503
57924,W,DOMESTIC,-84.31897,40.32892,GLOBAL POSITIONING SYSTEM,SHELBY,CYNTHIAN,2008-05-21,137.0,1007.0,GRAVEL & SAND,ROTARY,40.0,65.3,134.0,,2016532
57956,W,MONITOR,-84.18227,40.46759,GLOBAL POSITIONING SYSTEM,SHELBY,DINSMORE,2007-10-24,20.0,1000.2999877929688,SAND,AUGER,,0.0,10.0,,2013688
58029,W,DOMESTIC,-84.05006,40.252179999999996,GLOBAL POSITIONING SYSTEM,SHELBY,GREEN,2011-08-16,97.0,1075.699951171875,SAND & GRAVEL,ROTARY,70.0,32.3,94.0,,2033967
58036,W,DOMESTIC,-84.36039,40.32165,GLOBAL POSITIONING SYSTEM,SHELBY,CYNTHIAN,2011-08-18,221.0,990.2000122070312,LIMESTONE,ROTARY,30.0,54.2,133.0,129,2034049
58067,W,DOMESTIC,-84.35537,40.352669999999996,GLOBAL POSITIONING SYSTEM,SHELBY,MCLEAN,2012-03-22,160.0,958.5999755859375,LIMESTONE,ROTARY,70.0,23.7,110.0,96,2036916
58123,W,DOMESTIC,-84.35609,40.35367,GLOBAL POSITIONING SYSTEM,SHELBY,MCLEAN,2010-09-03,174.0,952.0,LIMESTONE,ROTARY,35.0,22.7,102.0,97,2028731
58168,W,DOMESTIC,-84.26151,40.393249999999995,GLOBAL POSITIONING SYSTEM,SHELBY,VAN BUREN,2012-01-16,128.0,967.5999755859375,LIMESTONE,ROTARY,50.0,18.8,78.0,61,2036193
58267,W,DOMESTIC,-84.23982,40.38474,GLOBAL POSITIONING SYSTEM,SHELBY,VAN BUREN,2011-11-22,158.0,991.4000244140625,LIMESTONE,ROTARY,40.0,34.4,93.0,85,2035590
58312,W,DOMESTIC,-84.026117,40.234916999999996,GLOBAL POSITIONING SYSTEM,SHELBY,GREEN,2012-10-22,127.0,1085.0999755859375,LIMESTONE,ROTARY,30.0,62.0,123.0,121,2040421
58409,W,MONITOR,-84.16405,40.2978,GLOBAL POSITIONING SYSTEM,SHELBY,CLINTON,2011-03-09,15.0,1025.300048828125,SILT,AUGER,,0.0,4.5,,2031528
58481,W,DOMESTIC,-84.05905,40.39654,GLOBAL POSITIONING SYSTEM,SHELBY,JACKSON,2011-03-23,56.0,1038.699951171875,GRAVEL & SAND,ROTARY,130.0,18.6,52.0,,2031535
58485,W,DOMESTIC,-84.29012,40.21404,GLOBAL POSITIONING SYSTEM,SHELBY,WASHINGTON,2011-08-12,201.0,989.2999877929688,LIMESTONE,ROTARY,20.0,78.0,159.0,157,2033923
58493,W,DOMESTIC,-84.38776,40.29763,GLOBAL POSITIONING SYSTEM,SHELBY,CYNTHIAN,2011-11-07,241.0,998.5999755859375,LIMESTONE,ROTARY,35.0,66.0,111.0,95,2035327
58608,W,DOMESTIC,-84.24947,40.45971,GLOBAL POSITIONING SYSTEM,SHELBY,VAN BUREN,2014-03-05,98.0,971.0999755859375,SAND & GRAVEL,ROTARY,25.0,35.7,94.0,,2046588
58700,W,DOMESTIC,-84.15096,40.37113,GLOBAL POSITIONING SYSTEM,SHELBY,FRANKLIN,2014-02-21,283.0,1024.699951171875,SAND & GRAVEL,ROTARY,20.0,43.0,280.0,,2046485
